Day,Start Hour,Impressions
Sunday,12 AM,0
Sunday,1 AM,0
Sunday,2 AM,2
Sunday,3 AM,0
Sunday,4 AM,0
Sunday,5 AM,0
Sunday,6 AM,0
Sunday,7 AM,0
Sunday,8 AM,2
Sunday,9 AM,0
Sunday,10 AM,9
Sunday,11 AM,8
Sunday,12 PM,2
Sunday,1 PM,3
Sunday,2 PM,4
Sunday,3 PM,6
Sunday,4 PM,9
Sunday,5 PM,0
Sunday,6 PM,1
Sunday,7 PM,4
Sunday,8 PM,7
Sunday,9 PM,4
Sunday,10 PM,0
Sunday,11 PM,0
Monday,12 AM,0
Monday,1 AM,0
Monday,2 AM,0
Monday,3 AM,0
Monday,4 AM,0
Monday,5 AM,0
Monday,6 AM,1
Monday,7 AM,2
Monday,8 AM,0
Monday,9 AM,17
Monday,10 AM,29
Monday,11 AM,24
Monday,12 PM,29
Monday,1 PM,26
Monday,2 PM,32
Monday,3 PM,34
Monday,4 PM,12
Monday,5 PM,14
Monday,6 PM,8
Monday,7 PM,9
Monday,8 PM,2
Monday,9 PM,5
Monday,10 PM,6
Monday,11 PM,1
Tuesday,12 AM,4
Tuesday,1 AM,1
Tuesday,2 AM,0
Tuesday,3 AM,0
Tuesday,4 AM,0
Tuesday,5 AM,0
Tuesday,6 AM,0
Tuesday,7 AM,1
Tuesday,8 AM,5
Tuesday,9 AM,17
Tuesday,10 AM,22
Tuesday,11 AM,10
Tuesday,12 PM,25
Tuesday,1 PM,18
Tuesday,2 PM,17
Tuesday,3 PM,19
Tuesday,4 PM,27
Tuesday,5 PM,15
Tuesday,6 PM,4
Tuesday,7 PM,6
Tuesday,8 PM,6
Tuesday,9 PM,5
Tuesday,10 PM,7
Tuesday,11 PM,1
Wednesday,12 AM,0
Wednesday,1 AM,0
Wednesday,2 AM,2
Wednesday,3 AM,0
Wednesday,4 AM,0
Wednesday,5 AM,1
Wednesday,6 AM,0
Wednesday,7 AM,2
Wednesday,8 AM,0
Wednesday,9 AM,4
Wednesday,10 AM,21
Wednesday,11 AM,8
Wednesday,12 PM,15
Wednesday,1 PM,13
Wednesday,2 PM,17
Wednesday,3 PM,13
Wednesday,4 PM,29
Wednesday,5 PM,8
Wednesday,6 PM,7
Wednesday,7 PM,9
Wednesday,8 PM,0
Wednesday,9 PM,2
Wednesday,10 PM,3
Wednesday,11 PM,0
Thursday,12 AM,0
Thursday,1 AM,0
Thursday,2 AM,0
Thursday,3 AM,0
Thursday,4 AM,0
Thursday,5 AM,0
Thursday,6 AM,0
Thursday,7 AM,2
Thursday,8 AM,8
Thursday,9 AM,22
Thursday,10 AM,11
Thursday,11 AM,25
Thursday,12 PM,17
Thursday,1 PM,16
Thursday,2 PM,49
Thursday,3 PM,23
Thursday,4 PM,20
Thursday,5 PM,11
Thursday,6 PM,2
Thursday,7 PM,2
Thursday,8 PM,1
Thursday,9 PM,4
Thursday,10 PM,0
Thursday,11 PM,1
Friday,12 AM,0
Friday,1 AM,0
Friday,2 AM,0
Friday,3 AM,0
Friday,4 AM,1
Friday,5 AM,1
Friday,6 AM,3
Friday,7 AM,2
Friday,8 AM,9
Friday,9 AM,20
Friday,10 AM,13
Friday,11 AM,28
Friday,12 PM,9
Friday,1 PM,13
Friday,2 PM,21
Friday,3 PM,13
Friday,4 PM,15
Friday,5 PM,4
Friday,6 PM,3
Friday,7 PM,8
Friday,8 PM,4
Friday,9 PM,3
Friday,10 PM,1
Friday,11 PM,1
Saturday,12 AM,1
Saturday,1 AM,2
Saturday,2 AM,1
Saturday,3 AM,0
Saturday,4 AM,0
Saturday,5 AM,1
Saturday,6 AM,1
Saturday,7 AM,0
Saturday,8 AM,3
Saturday,9 AM,8
Saturday,10 AM,17
Saturday,11 AM,14
Saturday,12 PM,11
Saturday,1 PM,8
Saturday,2 PM,8
Saturday,3 PM,5
Saturday,4 PM,18
Saturday,5 PM,6
Saturday,6 PM,3
Saturday,7 PM,3
Saturday,8 PM,2
Saturday,9 PM,2
Saturday,10 PM,0
Saturday,11 PM,2
