Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
care,£81.92,25,307,0.00,"(care homes near me, care homes norwich, care home near me)"
home,£51.19,15,168,0.00,"(care home near me, care home norwich, brundall care home)"
homes,£31.23,13,142,0.00,"(care homes near me, care homes norwich, hollyman care homes)"
norwich,£11.62,5,91,0.00,"(care homes norwich, care home norwich, cascade care home norwich)"
near,£12.94,6,81,0.00,"(care homes near me, care home near me, care homes near me with vacancies)"
near me,£12.94,6,76,0.00,"(care homes near me, care home near me, care homes near me with vacancies)"
house,£0.84,1,32,0.00,"(st thomas house north walsham, beauchamp house norwich, burgh house residential care home)"
great yarmouth,£1.95,1,22,0.00,"(care homes great yarmouth, care homes in great yarmouth, park house care home great yarmouth)"
in,£20.25,1,21,0.00,"(care homes in norwich, care home in norwich, care homes in great yarmouth)"
lowestoft,£0.28,1,20,0.00,"(care homes lowestoft, care home lowestoft, residential homes lowestoft)"
park,£3.62,5,17,0.00,"(broadland park care home upton, broadlands park upton, park house care home great yarmouth)"
residential,£8.29,2,15,0.00,"(burgh house residential care home, norwich residential homes, residential homes lowestoft)"
st,£4.05,1,14,0.00,"(st thomas house north walsham, st edmunds care home attleborough, st georges care home)"
court,£0.00,0,13,0.00,"(singer court norwich, braydeston court, carlton court care home lowestoft)"
upton,£3.62,5,12,0.00,"(broadland park care home upton, broadlands park upton)"
with,£20.78,2,12,0.00,"(care homes near me with vacancies, care homes with tier 2 sponsorship in bedfordshire, care homes with visa sponsorship near me)"
hollyman,£0.98,5,11,0.00,(hollyman care homes)
brundall,£1.01,2,11,0.00,(brundall care home)
broadland,£2.12,4,11,0.00,"(broadland park care home upton, broadland view)"
martham,£35.09,4,11,0.00,"(martham lodge care home, ealing house care home martham, martham lodge residential care home)"
lodge,£34.25,3,10,0.00,"(martham lodge care home, cherry lodge care home lowestoft, martham lodge residential care home)"
nursing home,£7.28,3,9,0.00,"(nursing home near me, nursing home norwich, nursing homes great yarmouth)"
