Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,36.10%,36.10%,No data,No data,No data,No data,28.67%,28.67%,No data,No data
careyourway.co.uk,11.27%,11.27%,33.88%,33.88%,8.35%,8.35%,66.31%,66.31%,73.66%,73.66%
lottie.org,< 10%,< 10%,35.13%,35.13%,4.03%,4.03%,76.52%,76.52%,66.67%,66.67%
ashleycaregroup.com,10.09%,10.09%,33.27%,33.27%,12.86%,12.86%,67.20%,67.20%,60.87%,60.87%
mha.org.uk,< 10%,< 10%,35.06%,35.06%,4.92%,4.92%,64.43%,64.43%,58.33%,58.33%
castlemeadowcare.co.uk,17.43%,17.43%,32.02%,32.02%,16.96%,16.96%,70.19%,70.19%,66.59%,66.59%
averyhealthcare.co.uk,< 10%,< 10%,34.56%,34.56%,5.18%,5.18%,84.83%,84.83%,82.01%,82.01%
kingsleyhealthcare.co.uk,10.78%,10.78%,32.88%,32.88%,10.74%,10.74%,81.27%,81.27%,82.99%,82.99%
alexandercourtcare.com,< 10%,< 10%,34.39%,34.39%,6.90%,6.90%,70.38%,70.38%,68.65%,68.65%
barchester.com,< 10%,< 10%,34.09%,34.09%,8.09%,8.09%,65.27%,65.27%,68.66%,68.66%
healthcarehomes.co.uk,< 10%,< 10%,34.58%,34.58%,6.00%,6.00%,77.41%,77.41%,70.19%,70.19%
