Negative keyword report
All time
Negative keyword,Keyword or list,Campaign,Ad group,Level,Match type
[health care homes],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[church farm care home hemsby],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[woodlands care home],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[care agency near me],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[home care norwich],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[care work agency],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[abbeyfield independent living],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[manor court care home],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[windmill care home],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[trinity care home],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[mayflower care home norwich],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[martham lodge],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[care home in smethwick],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[aria care],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[blyford residential home lowestoft],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[care homes gorleston],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[lavender lodge care home],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[living communities near me],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[avery lodge care home],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[wellesley house nursing home],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[swimbridge nursing home],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[manor house blofield],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[hospice norwich],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[first choice home care norwich],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[halsey house cromer],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
[hamilton house buckingham],Keyword,Campaign #1,Ad group 1,Ad group,Exact match
