Search keyword report
"May 1, 2026 - May 31, 2026"
Keyword status,Keyword,Match type,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Enabled,"""residential care homes""",Phrase match,Eligible,,0.00,GBP,0.00,,2,65,3.08%,1.31,2.63,0.00%
Enabled,aged care near me,Broad match,Eligible,,0.00,GBP,0.00,,5,148,3.38%,0.44,2.21,0.00%
Enabled,martham lodge residential care home,Broad match,Eligible,,0.00,GBP,0.00,,1,1,100.00%,1.30,1.30,0.00%
Enabled,"""care homes Norfolk""",Phrase match,Eligible,,0.00,GBP,0.00,,0,2,0.00%,0,0.00,0.00%
Enabled,"""care homes near me""",Phrase match,Eligible,,0.00,GBP,0.00,,0,3,0.00%,0,0.00,0.00%
Enabled,care homes Norfolk,Broad match,Eligible,,0.00,GBP,0.00,,5,232,2.16%,1.38,6.88,0.00%
Enabled,"""hollyman care homes""",Phrase match,Eligible,,0.00,GBP,0.00,,13,45,28.89%,0.45,5.90,0.00%
Enabled,broadlands park care home,Broad match,Eligible,,0.00,GBP,0.00,,0,2,0.00%,0,0.00,0.00%
Enabled,"""care home in norfolk""",Phrase match,Limited,low quality,0.00,GBP,0.00,,0,11,0.00%,0,0.00,0.00%
Enabled,care homes great yarmouth,Broad match,Eligible,,0.00,GBP,0.00,,10,163,6.13%,0.60,6.03,0.00%
Enabled,"""care homes in Norwich""",Phrase match,Eligible,,0.00,GBP,0.00,,0,41,0.00%,0,0.00,0.00%
Enabled,"""residential care near me""",Phrase match,Eligible,,0.00,GBP,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,[residential care home near me],Exact match,Eligible,,0.00,GBP,0.00,,0,5,0.00%,0,0.00,0.00%
Enabled,blofield care home,Broad match,Limited,low quality,0.00,GBP,0.00,,0,3,0.00%,0,0.00,0.00%
Enabled,care homes in brundall,Broad match,Limited,low quality,0.00,GBP,0.00,,0,3,0.00%,0,0.00,0.00%
Enabled,[care home for elderly near me],Exact match,Eligible,,0.00,GBP,0.00,,2,38,5.26%,2.57,5.14,0.00%
Enabled,elderly care homes near me,Broad match,Eligible,,0.00,GBP,0.00,,1,38,2.63%,2.80,2.80,0.00%
Enabled,"""care homes in great yarmouth""",Phrase match,Eligible,,0.00,GBP,0.00,,1,12,8.33%,11.64,11.64,0.00%
Enabled,"""private care home""",Phrase match,Eligible,,0.00,GBP,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""care home for elderly""",Phrase match,Limited,low quality,0.00,GBP,0.00,,3,166,1.81%,3.80,11.40,0.00%
Enabled,care homes near me,Broad match,Eligible,,4.00,GBP,41.42,,140,"3,731",3.75%,1.18,165.68,2.86%
Enabled,care homes Norwich,Broad match,Eligible,,1.00,GBP,21.31,,13,263,4.94%,1.64,21.31,7.69%
Enabled,[residential care homes Great Yarmouth],Exact match,Eligible,,0.00,GBP,0.00,,0,80,0.00%,0,0.00,0.00%
Paused,elderly care,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Paused,care for elderly,Broad match,Paused,paused,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
Enabled,[private care home norfolk],Exact match,Eligible,,0.00,GBP,0.00,,0,0, --,0,0.00,0.00%
